Frequency_Hz,Energy_Output
400.0,4.070886
400.5,3.576337
401.0,3.149209
401.5,2.779573
402.0,2.459054
402.5,2.180578
403.0,1.938156
403.5,1.726710
404.0,1.541926
404.5,1.380134
405.0,1.238205
405.5,1.113466
406.0,1.003634
406.5,0.906749
407.0,0.821131
407.5,0.745334
408.0,0.678115
408.5,0.618400
409.0,0.565261
409.5,0.517895
410.0,0.475607
410.5,0.437792
411.0,0.403926
411.5,0.373550
412.0,0.346265
412.5,0.321724
413.0,0.299620
413.5,0.279687
414.0,0.261689
414.5,0.245423
415.0,0.230704
415.5,0.217376
416.0,0.205296
416.5,0.194340
417.0,0.184399
417.5,0.175375
418.0,0.167182
418.5,0.159745
419.0,0.152995
419.5,0.146872
420.0,0.141324
420.5,0.136303
421.0,0.131768
421.5,0.127682
422.0,0.124011
422.5,0.120727
423.0,0.117804
423.5,0.115221
424.0,0.112958
424.5,0.110998
425.0,0.109327
425.5,0.107933
426.0,0.106805
426.5,0.105937
427.0,0.105320
427.5,0.104952
428.0,0.104830
428.5,0.104952
429.0,0.104586
429.5,0.103977
430.0,0.103131
430.5,0.102054
431.0,0.100752
431.5,0.099236
432.0,0.097514
432.5,0.095599
433.0,0.093502
433.5,0.091239
434.0,0.088823
434.5,0.086269
435.0,0.083594
435.5,0.080812
436.0,0.077941
436.5,0.074997
437.0,0.071996
437.5,0.068954
438.0,0.065886
438.5,0.062808
439.0,0.059735
439.5,0.056679
440.0,0.053654
440.5,0.050673
441.0,0.047745
441.5,0.044882
442.0,0.042092
442.5,0.039383
443.0,0.036763
443.5,0.034237
444.0,0.031811
444.5,0.029487
445.0,0.027270
445.5,0.025160
446.0,0.023160
446.5,0.021269
447.0,0.019487
447.5,0.017812
448.0,0.016244
448.5,0.014779
449.0,0.013414
449.5,0.012148
